Genomics_ID,Sample_ID,loc,lat,lon,Species,Expressed Sex,Collector,Collection Year,Extraction #,PCR #,DIGEST #,Inferred Genetic Sex,NOTES,Gel Date,Lab,,,
T1-75.8,BOWKER-T1-75,,,,S. caninervis,U,M. Bowker,1997,,D4,26,F,DIRECT LEAF PCR,,Mishler,,,
T1-75.9,BOWKER-T1-75,,,,S. caninervis,U,M. Bowker,1997,,D4,26,,DIRECT LEAF PCR,,Mishler,,,
T1-75.10,BOWKER-T1-75,,,,S. caninervis,U,M. Bowker,1997,,D4,26,F,DIRECT LEAF PCR,,Mishler,,,
T1-75.11,BOWKER-T2-75.11,,,,S. caninervis,U,M. Bowker,1997,,D11,34,F,DIRECT LEAF PCR,,Mishler,,,
T1-75.12,BOWKER-T2-75.12,,,,S. caninervis,U,M. Bowker,1997,,D11,33,F,DIRECT LEAF PCR,,Mishler,,,
T1-45.1,BOWKER-T1-45,,,,S. caninervis,U,M. Bowker,1997,,D5,27,F,DIRECT LEAF PCR,,Mishler,,,
T1-45.2,BOWKER-T1-45,,,,S. caninervis,U,M. Bowker,1997,,D5,27,F,DIRECT LEAF PCR,,Mishler,,,
T1-45.3,BOWKER-T1-45,,,,S. caninervis,U,M. Bowker,1997,,D5,27,F,DIRECT LEAF PCR,,Mishler,,,
T1-45.4,BOWKER-T1-45,,,,S. caninervis,U,M. Bowker,1997,,D5,27,F,DIRECT LEAF PCR,,Mishler,,,
T1-45.5,BOWKER-T1-45,,,,S. caninervis,U,M. Bowker,1997,,D5,27,,DIRECT LEAF PCR,3/15/2019,Mishler,,,
T1-45.6,BOWKER-T1-45,,,,S. caninervis,U,M. Bowker,1997,,D5,27,F,DIRECT LEAF PCR,,Mishler,,,
T2-45.11,BOWKER-T2-45.11,,,,S. caninervis,U,M. Bowker,1997,,D11,34,F,DIRECT LEAF PCR,,Mishler,,,
T1-75.1,BOWKER-T1-75,,,,S. caninervis,U,M. Bowker,1997,,D5,27,F,DIRECT LEAF PCR,,Mishler,,,
T1-75.2,BOWKER-T1-75,,,,S. caninervis,U,M. Bowker,1997,,D5,27,F,DIRECT LEAF PCR,,Mishler,,,
T1-135.1,BOWKER-T1-135.1,,,,S. caninervis,U,M. Bowker,1997,,D5,27,F,DIRECT LEAF PCR,,Mishler,,,
T1-135.2,BOWKER-T1-135.2,,,,S. caninervis,U,M. Bowker,1997,,D5,27,F,DIRECT LEAF PCR,,Mishler,,,
T1-135.3,BOWKER-T1-135.3,,,,S. caninervis,U,M. Bowker,1997,,D5,27,F,DIRECT LEAF PCR,,Mishler,,,
T1-135.4,BOWKER-T1-135.4,,,,S. caninervis,U,M. Bowker,1997,,D5,27,F,DIRECT LEAF PCR,,Mishler,,,
T1-135.5,BOWKER-T1-135.5,,,,S. caninervis,U,M. Bowker,1997,,D5,27,F,DIRECT LEAF PCR,,Mishler,,,
T1-135.6,BOWKER-T1-135.6,,,,S. caninervis,U,M. Bowker,1997,,D5,27,F,DIRECT LEAF PCR,,Mishler,,,
T1-135.7,BOWKER-T1-135.7,,,,S. caninervis,U,M. Bowker,1997,,D5,27,F,DIRECT LEAF PCR,,Mishler,,,
T1-135.8,BOWKER-T1-135.8,,,,S. caninervis,U,M. Bowker,1997,,D5,28,F,DIRECT LEAF PCR,,Mishler,,,
T1-135.9,BOWKER-T1-135.9,,,,S. caninervis,U,M. Bowker,1997,,D5,28,F,DIRECT LEAF PCR,,Mishler,,,
T1-135.10,BOWKER-T1-135.10,,,,S. caninervis,U,M. Bowker,1997,,D5,28,F,DIRECT LEAF PCR,,Mishler,,,
T1-150.1,BOWKER-T1-150.1,,,,S. caninervis,U,M. Bowker,1997,,D5,28,F,DIRECT LEAF PCR,,Mishler,,,
T1-150.2,BOWKER-T1-150.2,,,,S. caninervis,U,M. Bowker,1997,,D5,28,F,DIRECT LEAF PCR,,Mishler,,,
T1-150.3,BOWKER-T1-150.3,,,,S. caninervis,U,M. Bowker,1997,,D5,28,F,DIRECT LEAF PCR,,Mishler,,,
T1-150.4,BOWKER-T1-150.4,,,,S. caninervis,U,M. Bowker,1997,,D5,28,F,DIRECT LEAF PCR,,Mishler,,,
T1-150.5,BOWKER-T1-150.5,,,,S. caninervis,U,M. Bowker,1997,,D5,28,F,DIRECT LEAF PCR,,Mishler,,,
T1-150.6,BOWKER-T1-150.6,,,,S. caninervis,U,M. Bowker,1997,,D5,28,F,DIRECT LEAF PCR,,Mishler,,,
T1-150.7,BOWKER-T1-150.7,,,,S. caninervis,U,M. Bowker,1997,,D5,28,F,DIRECT LEAF PCR,,Mishler,,,
T1-150.8,BOWKER-T1-150.8,,,,S. caninervis,U,M. Bowker,1997,,D6,29,,DIRECT LEAF PCR,,Mishler,,,
T1-150.9,BOWKER-T1-150.9,,,,S. caninervis,U,M. Bowker,1997,,D6,29,,DIRECT LEAF PCR,,Mishler,,,
T1-150.10,BOWKER-T1-150.10,,,,S. caninervis,U,M. Bowker,1997,,D6,29,,DIRECT LEAF PCR,,Mishler,,,
T1-165.1,BOWKER-T1-165.1,,,,S. caninervis,U,M. Bowker,1997,,D6,29,F,DIRECT LEAF PCR,,Mishler,,,
T1-165.2,BOWKER-T1-165.2,,,,S. caninervis,U,M. Bowker,1997,,D6,29,F,DIRECT LEAF PCR,,Mishler,,,
T1-165.3,BOWKER-T1-165.3,,,,S. caninervis,U,M. Bowker,1997,,D6,29,,DIRECT LEAF PCR,,Mishler,,,
T1-165.4,BOWKER-T1-165.4,,,,S. caninervis,U,M. Bowker,1997,,D6,29,F,DIRECT LEAF PCR,,Mishler,,,
T1-165.5,BOWKER-T1-165.5,,,,S. caninervis,U,M. Bowker,1997,,D6,29,F,DIRECT LEAF PCR,,Mishler,,,
T1-165.6,BOWKER-T1-165.6,,,,S. caninervis,U,M. Bowker,1997,,D6,29,F,DIRECT LEAF PCR,,Mishler,,,
T1-165.7,BOWKER-T1-165.7,,,,S. caninervis,U,M. Bowker,1997,,D6,29,F,DIRECT LEAF PCR,,Mishler,,,
T1-165.8,BOWKER-T1-165.8,,,,S. caninervis,U,M. Bowker,1997,,D6,29,F,DIRECT LEAF PCR,,Mishler,,,
T1-165.9,BOWKER-T1-165.9,,,,S. caninervis,U,M. Bowker,1997,,D6,29,,DIRECT LEAF PCR,,Mishler,,,
T1-165.10,BOWKER-T1-165.10,,,,S. caninervis,U,M. Bowker,1997,,D6,29,,DIRECT LEAF PCR,,Mishler,,,
T1-180.1,BOWKER-T1-180.1,,,,S. caninervis,U,M. Bowker,1997,,D7,30,F,DIRECT LEAF PCR,,Mishler,,,
T1-180.2,BOWKER-T1-180.2,,,,S. caninervis,U,M. Bowker,1997,,D7,30,F,DIRECT LEAF PCR,,Mishler,,,
T1-180.3,BOWKER-T1-180.3,,,,S. caninervis,U,M. Bowker,1997,,D7,30,F,DIRECT LEAF PCR,,Mishler,,,
T1-180.4,BOWKER-T1-180.4,,,,S. caninervis,U,M. Bowker,1997,,D7,30,F,DIRECT LEAF PCR,,Mishler,,,
T1-180.5,BOWKER-T1-180.5,,,,S. caninervis,U,M. Bowker,1997,,D7,30,,DIRECT LEAF PCR,,Mishler,,,
T1-180.6,BOWKER-T1-180.6,,,,S. caninervis,U,M. Bowker,1997,,D7,30,F,DIRECT LEAF PCR,,Mishler,,,
T1-180.7,BOWKER-T1-180.7,,,,S. caninervis,U,M. Bowker,1997,,D7,30,F,DIRECT LEAF PCR,,Mishler,,,
T1-180.8,BOWKER-T1-180.8,,,,S. caninervis,U,M. Bowker,1997,,D7,30,F,DIRECT LEAF PCR,,Mishler,,,
T1-180.9,BOWKER-T1-180.9,,,,S. caninervis,U,M. Bowker,1997,,D7,30,F,DIRECT LEAF PCR,,Mishler,,,
T1-180.10,BOWKER-T1-180.10,,,,S. caninervis,U,M. Bowker,1997,,D7,30,F,DIRECT LEAF PCR,,Mishler,,,
T1-195.1,BOWKER-T1-195.1,,,,S. caninervis,U,M. Bowker,1997,,D7,30,F,DIRECT LEAF PCR,,Mishler,,,
T1-195.2,BOWKER-T1-195.2,,,,S. caninervis,U,M. Bowker,1997,,D7,30,F,DIRECT LEAF PCR,,Mishler,,,
T1-195.3,BOWKER-T1-195.3,,,,S. caninervis,U,M. Bowker,1997,,D7,30,F,DIRECT LEAF PCR,,Mishler,,,
T1-195.4,BOWKER-T1-195.4,,,,S. caninervis,U,M. Bowker,1997,,D7,30,F,DIRECT LEAF PCR,,Mishler,,,
T1-195.5,BOWKER-T1-195.5,,,,S. caninervis,U,M. Bowker,1997,,D7,30,F,DIRECT LEAF PCR,,Mishler,,,
T1-195.6,BOWKER-T1-195.6,,,,S. caninervis,U,M. Bowker,1997,,D8,31,F,DIRECT LEAF PCR,,Mishler,,,
T1-195.7,BOWKER-T1-195.7,,,,S. caninervis,U,M. Bowker,1997,,D8,31,F,DIRECT LEAF PCR,,Mishler,,,
T1-195.8,BOWKER-T1-195.8,,,,S. caninervis,U,M. Bowker,1997,,D8,31,F,DIRECT LEAF PCR,,Mishler,,,
T1-195.9,BOWKER-T1-195.9,,,,S. caninervis,U,M. Bowker,1997,,D8,31,F,DIRECT LEAF PCR,,Mishler,,,
T1-195.10,BOWKER-T1-195.10,,,,S. caninervis,U,M. Bowker,1997,,D8,31,F,DIRECT LEAF PCR,,Mishler,,,
T1-240.1,BOWKER-T1-240.1,,,,S. caninervis,U,M. Bowker,1997,,D8,31,F,DIRECT LEAF PCR,,Mishler,,,
T1-240.2,BOWKER-T1-240.2,,,,S. caninervis,U,M. Bowker,1997,,D8,31,F,DIRECT LEAF PCR,,Mishler,,,
T1-240.3,BOWKER-T1-240.3,,,,S. caninervis,U,M. Bowker,1997,,D8,31,F,DIRECT LEAF PCR,,Mishler,,,
T1-240.4,BOWKER-T1-240.4,,,,S. caninervis,U,M. Bowker,1997,,D8,31,F,DIRECT LEAF PCR,,Mishler,,,
T1-240.5,BOWKER-T1-240.5,,,,S. caninervis,U,M. Bowker,1997,,D8,31,F,DIRECT LEAF PCR,,Mishler,,,
T1-240.6,BOWKER-T1-240.6,,,,S. caninervis,U,M. Bowker,1997,,D8,31,F,DIRECT LEAF PCR,,Mishler,,,
T1-240.7,BOWKER-T1-240.7,,,,S. caninervis,U,M. Bowker,1997,,D8,31,F,DIRECT LEAF PCR,,Mishler,,,
T1-240.8,BOWKER-T1-240.8,,,,S. caninervis,U,M. Bowker,1997,,D8,31,F,DIRECT LEAF PCR,,Mishler,,,
T1-240.9,BOWKER-T1-240.9,,,,S. caninervis,U,M. Bowker,1997,,D8,31,F,DIRECT LEAF PCR,,Mishler,,,
T1-240.10,BOWKER-T1-240.10,,,,S. caninervis,U,M. Bowker,1997,,D8,31,F,DIRECT LEAF PCR,,Mishler,,,
T2-30.1,BOWKER-T2-30.1,,,,S. caninervis,U,M. Bowker,1997,,D9,31,,DIRECT LEAF PCR,,Mishler,,,
T2-30.2,BOWKER-T2-30.2,,,,S. caninervis,U,M. Bowker,1997,,D9,32,,DIRECT LEAF PCR,,Mishler,,,
T2-30.3,BOWKER-T2-30.3,,,,S. caninervis,U,M. Bowker,1997,,D9,32,,DIRECT LEAF PCR,,Mishler,,,
T2-30.4,BOWKER-T2-30.4,,,,S. caninervis,U,M. Bowker,1997,,D9,32,,DIRECT LEAF PCR,,Mishler,,,
T2-30.5,BOWKER-T2-30.5,,,,S. caninervis,U,M. Bowker,1997,,D9,32,,DIRECT LEAF PCR,,Mishler,,,
T2-30.6,BOWKER-T2-30.6,,,,S. caninervis,U,M. Bowker,1997,,D9,32,F,DIRECT LEAF PCR,,Mishler,,,
T2-30.7,BOWKER-T2-30.7,,,,S. caninervis,U,M. Bowker,1997,,D9,32,M,DIRECT LEAF PCR,,Mishler,,,
T2-30.8,BOWKER-T2-30.8,,,,S. caninervis,U,M. Bowker,1997,,D9,32,F,DIRECT LEAF PCR,,Mishler,,,
T2-30.9,BOWKER-T2-30.9,,,,S. caninervis,U,M. Bowker,1997,,D9,32,,DIRECT LEAF PCR,,Mishler,,,
T2-30.10,BOWKER-T2-30.10,,,,S. caninervis,U,M. Bowker,1997,,D9,32,,DIRECT LEAF PCR,,Mishler,,,
T2-30.11,BOWKER-T2-30.11,,,,S. caninervis,U,M. Bowker,1997,,D16,39,,DIRECT LEAF PCR,,Mishler,,,
T2-30.12,BOWKER-T2-30.12,,,,S. caninervis,U,M. Bowker,1997,,D16,39,,DIRECT LEAF PCR,,Mishler,,,
T2-30.13,BOWKER-T2-30.13,,,,S. caninervis,U,M. Bowker,1997,,D16,39,M,DIRECT LEAF PCR,,Mishler,,,
T2-45.1,BOWKER-T2-45.1,,,,S. caninervis,U,M. Bowker,1997,,D9,32,F,DIRECT LEAF PCR,,Mishler,,,
T2-45.2,BOWKER-T2-45.2,,,,S. caninervis,U,M. Bowker,1997,,D9,32,F,DIRECT LEAF PCR,,Mishler,,,
T2-45.3,BOWKER-T2-45.3,,,,S. caninervis,U,M. Bowker,1997,,D9,32,F,DIRECT LEAF PCR,,Mishler,,,
T2-45.4,BOWKER-T2-45.4,,,,S. caninervis,U,M. Bowker,1997,,D9,32,F,DIRECT LEAF PCR,,Mishler,,,
T2-45.5,BOWKER-T2-45.5,,,,S. caninervis,U,M. Bowker,1997,,D9,32,F,DIRECT LEAF PCR,,Mishler,,,
T2-45.6,BOWKER-T2-45.6,,,,S. caninervis,U,M. Bowker,1997,,D9,32,,DIRECT LEAF PCR,,Mishler,,,
T2-45.7,BOWKER-T2-45.7,,,,S. caninervis,U,M. Bowker,1997,,D9,32,F,DIRECT LEAF PCR,,Mishler,,,
T2-45.8,BOWKER-T2-45.8,,,,S. caninervis,U,M. Bowker,1997,,D9,32,F,DIRECT LEAF PCR,,Mishler,,,
T2-45.9,BOWKER-T2-45.9,,,,S. caninervis,U,M. Bowker,1997,,D9,32,F,DIRECT LEAF PCR,,Mishler,,,
T2-45.10,BOWKER-T2-45.10,,,,S. caninervis,U,M. Bowker,1997,,D9,32,,DIRECT LEAF PCR,,Mishler,,,
T2-45.11,BOWKER-T2-45.11,,,,S. caninervis,U,M. Bowker,1997,,D16,39,F,DIRECT LEAF PCR,,Mishler,,,
T2-45.12,BOWKER-T2-45.12,,,,S. caninervis,U,M. Bowker,1997,,D16,39,,DIRECT LEAF PCR,,Mishler,,,
T2-60.1,BOWKER-T2-60.1,,,,S. caninervis,U,M. Bowker,1997,,D9,32,,DIRECT LEAF PCR,,Mishler,,,
T2-60.2,BOWKER-T2-60.2,,,,S. caninervis,U,M. Bowker,1997,,D9,32,F,DIRECT LEAF PCR,,Mishler,,,
T2-60.3,BOWKER-T2-60.3,,,,S. caninervis,U,M. Bowker,1997,,D9,32,,DIRECT LEAF PCR,,Mishler,,,
T2-60.4,BOWKER-T2-60.4,,,,S. caninervis,U,M. Bowker,1997,,D9,32,F,DIRECT LEAF PCR,,Mishler,,,
T2-60.5,BOWKER-T2-60.5,,,,S. caninervis,U,M. Bowker,1997,,D9,32,F,DIRECT LEAF PCR,,Mishler,,,
T2-60.6,BOWKER-T2-60.6,,,,S. caninervis,U,M. Bowker,1997,,D10,33,,DIRECT LEAF PCR,,Mishler,,,
T2-60.7,BOWKER-T2-60.7,,,,S. caninervis,U,M. Bowker,1997,,D10,33,F,DIRECT LEAF PCR,,Mishler,,,
T2-60.8,BOWKER-T2-60.8,,,,S. caninervis,U,M. Bowker,1997,,D10,33,,DIRECT LEAF PCR,,Mishler,,,
T2-60.9,BOWKER-T2-60.9,,,,S. caninervis,U,M. Bowker,1997,,D10,33,,DIRECT LEAF PCR,,Mishler,,,
T2-60.10,BOWKER-T2-60.10,,,,S. caninervis,U,M. Bowker,1997,,D10,33,,DIRECT LEAF PCR,,Mishler,,,
T2-75.1,BOWKER-T2-75.1,,,,S. caninervis,U,M. Bowker,1997,,D10,33,,DIRECT LEAF PCR,,Mishler,,,
T2-75.2,BOWKER-T2-75.2,,,,S. caninervis,U,M. Bowker,1997,,D10,33,F,DIRECT LEAF PCR,,Mishler,,,
T2-75.3,BOWKER-T2-75.3,,,,S. caninervis,U,M. Bowker,1997,,D10,33,F,DIRECT LEAF PCR,,Mishler,,,
T2-75.4,BOWKER-T2-75.4,,,,S. caninervis,U,M. Bowker,1997,,D10,33,F,DIRECT LEAF PCR,,Mishler,,,
T2-75.5,BOWKER-T2-75.5,,,,S. caninervis,U,M. Bowker,1997,,D10,33,F,DIRECT LEAF PCR,,Mishler,,,
T2-75.6,BOWKER-T2-75.6,,,,S. caninervis,U,M. Bowker,1997,,D10,33,F,DIRECT LEAF PCR,,Mishler,,,
T2-75.7,BOWKER-T2-75.7,,,,S. caninervis,U,M. Bowker,1997,,D10,33,F,DIRECT LEAF PCR,,Mishler,,,
T2-75.8,BOWKER-T2-75.8,,,,S. caninervis,U,M. Bowker,1997,,D10,33,F,DIRECT LEAF PCR,,Mishler,,,
T2-75.9,BOWKER-T2-75.9,,,,S. caninervis,U,M. Bowker,1997,,D10,33,F,DIRECT LEAF PCR,,Mishler,,,
T2-75.10,BOWKER-T2-75.10,,,,S. caninervis,U,M. Bowker,1997,,D10,33,F,DIRECT LEAF PCR,,Mishler,,,
T2-75.11,BOWKER-T2-75.11,,,,S. caninervis,U,M. Bowker,1997,,D16,39,,DIRECT LEAF PCR,,Mishler,,,
T2-75.12,BOWKER-T2-75.12,,,,S. caninervis,U,M. Bowker,1997,,D16,39,,DIRECT LEAF PCR,,Mishler,,,
T2-90.1,BOWKER-T2-90.1,,,,S. caninervis,U,M. Bowker,1997,,D10,33,F,DIRECT LEAF PCR,,Mishler,,,
T2-90.2,BOWKER-T2-90.2,,,,S. caninervis,U,M. Bowker,1997,,D10,33,F,DIRECT LEAF PCR,,Mishler,,,
T2-90.3,BOWKER-T2-90.3,,,,S. caninervis,U,M. Bowker,1997,,D10,33,F,DIRECT LEAF PCR,,Mishler,,,
T2-90.4,BOWKER-T2-90.4,,,,S. caninervis,U,M. Bowker,1997,,D10,33,F,DIRECT LEAF PCR,,Mishler,,,
T2-90.5,BOWKER-T2-90.5,,,,S. caninervis,U,M. Bowker,1997,,D10,33,F,DIRECT LEAF PCR,,Mishler,,,
T2-90.6,BOWKER-T2-90.6,,,,S. caninervis,U,M. Bowker,1997,,D10,33,F,DIRECT LEAF PCR,,Mishler,,,
T2-90.7,BOWKER-T2-90.7,,,,S. caninervis,U,M. Bowker,1997,,D10,33,F,DIRECT LEAF PCR,,Mishler,,,
T2-90.8,BOWKER-T2-90.8,,,,S. caninervis,U,M. Bowker,1997,,D10,33,F,DIRECT LEAF PCR,,Mishler,,,
T2-90.9,BOWKER-T2-90.9,,,,S. caninervis,U,M. Bowker,1997,,D10,33,F,DIRECT LEAF PCR,,Mishler,,,
T2-90.10,BOWKER-T2-90.10,,,,S. caninervis,U,M. Bowker,1997,,D10,33,F,DIRECT LEAF PCR,,Mishler,,,
T2-105.1,BOWKER-T2-105.1,,,,S. caninervis,U,M. Bowker,1997,,D12,35,,DIRECT LEAF PCR,,Mishler,,,
T2-105.2,BOWKER-T2-105.2,,,,S. caninervis,U,M. Bowker,1997,,D12,35,,DIRECT LEAF PCR,,Mishler,,,
T2-105.3,BOWKER-T2-105.3,,,,S. caninervis,U,M. Bowker,1997,,D12,35,,DIRECT LEAF PCR,,Mishler,,,
T2-105.4,BOWKER-T2-105.4,,,,S. caninervis,U,M. Bowker,1997,,D12,35,,DIRECT LEAF PCR,,Mishler,,,
T2-105.5,BOWKER-T2-105.5,,,,S. caninervis,U,M. Bowker,1997,,D12,35,F,DIRECT LEAF PCR,,Mishler,,,
T2-105.6,BOWKER-T2-105.6,,,,S. caninervis,U,M. Bowker,1997,,D12,35,F,DIRECT LEAF PCR,,Mishler,,,
T2-105.7,BOWKER-T2-105.7,,,,S. caninervis,U,M. Bowker,1997,,D12,35,,DIRECT LEAF PCR,,Mishler,,,
T2-105.8,BOWKER-T2-105.8,,,,S. caninervis,U,M. Bowker,1997,,D12,35,F,DIRECT LEAF PCR,,Mishler,,,
T2-105.9,BOWKER-T2-105.9,,,,S. caninervis,U,M. Bowker,1997,,D12,35,F,DIRECT LEAF PCR,,Mishler,,,
T2-105.10,BOWKER-T2-105.10,,,,S. caninervis,U,M. Bowker,1997,,D12,35,M,DIRECT LEAF PCR,,Mishler,,,
T2-105.11,BOWKER-T2-105.11,,,,S. caninervis,U,M. Bowker,1997,,D16,39,,DIRECT LEAF PCR,,Mishler,,,
T2-105.12,BOWKER-T2-105.12,,,,S. caninervis,U,M. Bowker,1997,,D16,39,,DIRECT LEAF PCR,,Mishler,,,
T2-120.1,BOWKER-T2-120.1,,,,S. caninervis,U,M. Bowker,1997,,D12,35,,DIRECT LEAF PCR,,Mishler,,,
T2-120.2,BOWKER-T2-120.2,,,,S. caninervis,U,M. Bowker,1997,,D12,35,,DIRECT LEAF PCR,,Mishler,,,
T2-120.3,BOWKER-T2-120.3,,,,S. caninervis,U,M. Bowker,1997,,D12,35,F,DIRECT LEAF PCR,,Mishler,,,
T2-120.4,BOWKER-T2-120.4,,,,S. caninervis,U,M. Bowker,1997,,D12,35,F,DIRECT LEAF PCR,,Mishler,,,
T2-120.5,BOWKER-T2-120.5,,,,S. caninervis,U,M. Bowker,1997,,D12,35,F,DIRECT LEAF PCR,,Mishler,,,
T2-120.6,BOWKER-T2-120.6,,,,S. caninervis,U,M. Bowker,1997,,D12,35,F,DIRECT LEAF PCR,,Mishler,,,
T2-120.7,BOWKER-T2-120.7,,,,S. caninervis,U,M. Bowker,1997,,D12,35,F,DIRECT LEAF PCR,,Mishler,,,
T2-120.8,BOWKER-T2-120.8,,,,S. caninervis,U,M. Bowker,1997,,D12,35,F,DIRECT LEAF PCR,,Mishler,,,
T2-120.9,BOWKER-T2-120.9,,,,S. caninervis,U,M. Bowker,1997,,D12,35,F,DIRECT LEAF PCR,,Mishler,,,
T2-120.10,BOWKER-T2-120.10,,,,S. caninervis,U,M. Bowker,1997,,D12,35,F,DIRECT LEAF PCR,,Mishler,,,
T2-120.11,BOWKER-T2-120.11,,,,S. caninervis,U,M. Bowker,1997,,D16,39,,DIRECT LEAF PCR,,Mishler,,,
T2-120.12,BOWKER-T2-120.12,,,,S. caninervis,U,M. Bowker,1997,,D16,39,,DIRECT LEAF PCR,,Mishler,,,
T2-135.1,BOWKER-T2-135.1,,,,S. caninervis,U,M. Bowker,1997,,D12,35,F,DIRECT LEAF PCR,,Mishler,,,
T2-135.2,BOWKER-T2-135.2,,,,S. caninervis,U,M. Bowker,1997,,D12,35,F,DIRECT LEAF PCR,,Mishler,,,
T2-135.3,BOWKER-T2-135.3,,,,S. caninervis,U,M. Bowker,1997,,D12,35,F,DIRECT LEAF PCR,,Mishler,,,
T2-135.4,BOWKER-T2-135.4,,,,S. caninervis,U,M. Bowker,1997,,D12,35,F,DIRECT LEAF PCR,,Mishler,,,
T2-135.5,BOWKER-T2-135.5,,,,S. caninervis,U,M. Bowker,1997,,D12,35,F,DIRECT LEAF PCR,,Mishler,,,
T3-465.1,BOWKER-T3-465.1,,,,S. caninervis,U,M. Bowker,,,,,F,,,Fisher,,,
T3-465.2,BOWKER-T3-465.2,,,,S. caninervis,U,M. Bowker,,,,,F,,,Fisher,,,
T3-465.3,BOWKER-T3-465.3,,,,S. caninervis,U,M. Bowker,,,,,F,,,Fisher,,,
T3-465.4,BOWKER-T3-465.4,,,,S. caninervis,U,M. Bowker,,,,,F,,,Fisher,,,
T3-465.5,BOWKER-T3-465.5,,,,S. caninervis,U,M. Bowker,,,,,F,,,Fisher,,,
T3-465.6,BOWKER-T3-465.6,,,,S. caninervis,U,M. Bowker,,,,,F,,,Fisher,,,
