Coordinates,Exposure of S. caninervis,Number of S. caninervis sporophytes,Stem height,Stem height:  exposed,Stem height: shaded,Number of inflorescences,No. Infl. per expressing ramet: exposed,No. Infl. per expressing ramet: shaded,"Sex (M,F,S)",Stem height sorted,No.  inflor by sorted st ht,No.  inflor sorted,St ht sorted by no. infl,Syntrichia caninervis cover,Syntrichia ruralis cover,Bryum algovicum cover,Bryum argenteum cover,Pterogoneurum spp. cover,Grimmia cover,Unknown sp. cover,Total bryophyte cover,Total lichen cover,Total cryptogam cover,,
T1 150,I,0,1.4,,1.4,0,,2,S,1,0,0,1,5%,0%,2.50%,0%,0%,0%,0%,7.50%,40%,47.5%,,
T1 150,I,,1.4,1.4,1.4,0,,2,S,1,0,0,1,,,,,,,,,,,,
T1 150,I,,1.3,2,1.3,0,,1,S,1,0,0,1,,,,,,,,,,,,
T1 150,I,,1.2,1.8,1.2,0,,1,S,1,0,0,1,,,,,,,,,,,,
T1 150,I,,1.3,1.3,1.3,0,,1,S,1,0,0,1,,,,,,,,,,,,
T1 150,I,,1.1,1.7,1.1,0,,1,S,1,0,0,1,,,,,,,,,,,,
T1 150,I,,0.6,1.8,0.6,0,,1,S,1,0,0,1,,,,,,,,,,,,
T1 150,I,,1,1.2,1,0,,1,S,1,0,0,1,,,,,,,,,,,,
T1 150,I,,0.9,1.3,0.9,0,,1,S,1,0,0,1,,,,,,,,,,,,
T1 150,I,,0.8,1.7,0.8,0,,1,S,1,0,0,1,,,,,,,,,,,,
T1 165,I,0,1.2,1.1,1.2,0,,1,S,1,0,0,1,2.50%,0%,0%,0%,0%,0%,0%,2.50%,20%,22.5%,,
T1 165,I,,1,1.7,1,0,,1,S,1,0,0,1,,,,,,,,,,,,
T1 165,I,,1.2,1.9,1.2,0,,1,S,1,0,0,1,,,,,,,,,,,,
T1 165,I,,1,1.5,1,0,,2,S,1,0,0,1,,,,,,,,,,,,
T1 165,I,,0.8,1.4,0.8,0,,2,S,1,0,0,1,,,,,,,,,,,,
T1 165,I,,1.1,1.3,1.1,0,,1,S,1,0,0,1,,,,,,,,,,,,
T1 165,I,,1,1.2,1,0,,1,S,1,0,0,1,,,,,,,,,,,,
T1 165,I,,1.2,1,1.2,0,,1,S,1,0,0,1,,,,,,,,,,,,
T1 165,I,,1.2,1.3,1.2,0,,1,S,1,1,0,1,,,,,,,,,,,,
T1 165,I,,0.6,1.2,0.6,0,,1,S,1,1,0,1,,,,,,,,,,,,
T1 180,I,0,1.5,1.1,1.5,0,,1,S,1,0,0,1,10%,0%,0%,0%,0%,0%,0%,10%,20%,30%,,
T1 180,I,,1.6,,1.6,0,,1,S,1,1,0,1,,,,,,,,,,,,
T1 180,I,,1.3,1.9,1.3,0,,1,S,1,0,0,1.1,,,,,,,,,,,,
T1 180,I,,1.9,0.9,1.9,0,,1,S,1,0,0,1.1,,,,,,,,,,,,
T1 180,I,,1.7,1.3,1.7,0,,1,S,1,0,0,1.1,,,,,,,,,,,,
T1 180,I,,0.9,1.2,0.9,0,,1,S,1,0,0,1.1,,,,,,,,,,,,
T1 180,I,,2.5,0.9,2.5,0,,2,S,1,0,0,1.1,,,,,,,,,,,,
T1 180,I,,2,0.8,2,0,,1,S,1,1,0,1.1,,,,,,,,,,,,
T1 180,I,,0.8,0.9,0.8,0,,1,S,1.1,0,0,1.1,,,,,,,,,,,,
T1 180,I,,0.5,1.1,0.5,0,,1,S,1.1,0,0,1.1,,,,,,,,,,,,
T1 195,I,0,1.1,1.9,1.1,0,,1,S,1.1,0,0,1.1,2.50%,0%,0%,0%,0%,0%,0%,2.50%,10%,12.5%,,
T1 195,I,,1.4,1.2,1.4,0,,2,S,1.1,0,0,1.1,,,,,,,,,,,,
T1 195,I,,0.7,1.9,0.7,0,,2,S,1.1,0,0,1.1,,,,,,,,,,,,
T1 195,I,,1.1,2.2,1.1,0,,1,S,1.1,0,0,1.1,,,,,,,,,,,,
T1 195,I,,1.6,1.8,1.6,0,,1,S,1.1,0,0,1.1,,,,,,,,,,,,
T1 195,I,,1.3,1.6,1.3,0,,2,S,1.1,0,0,1.1,,,,,,,,,,,,
T1 195,I,,0.9,2,0.9,0,,2,S,1.1,0,0,1.1,,,,,,,,,,,,
T1 195,I,,1.5,1.5,1.5,0,,1,S,1.1,0,0,1.1,,,,,,,,,,,,
T1 195,I,,1.2,1.6,1.2,0,,1,S,1.1,0,0,1.1,,,,,,,,,,,,
T1 195,I,,0.8,1.5,0.8,0,,1,S,1.1,0,0,1.1,,,,,,,,,,,,
T1 210,I,0,1.5,1,1.5,0,,1,S,1.1,0,0,1.1,20%,0%,0%,0%,0%,0%,0%,20%,0%,20%,,
T1 210,I,,1.5,1.2,1.5,0,,1,S,1.1,0,0,1.1,,,,,,,,,,,,
T1 210,I,,1.9,1.9,1.9,0,,1,S,1.1,0,0,1.1,,,,,,,,,,,,
T1 210,I,,2,1.5,2,0,,1,S,1.1,0,0,1.1,,,,,,,,,,,,
T1 210,I,,1.7,2.5,1.7,0,,1,S,1.1,0,0,1.1,,,,,,,,,,,,
T1 210,I,,1.5,1.8,1.5,0,,1,S,1.1,0,0,1.1,,,,,,,,,,,,
T1 210,I,,2.1,1.7,2.1,0,,1,S,1.1,0,0,1.1,,,,,,,,,,,,
T1 210,I,,0.9,1.8,0.9,0,,1,S,1.1,0,0,1.1,,,,,,,,,,,,
T1 210,I,,1,2,1,0,,1,S,1.1,0,0,1.1,,,,,,,,,,,,
T1 210,I,,1.3,1.8,1.3,0,,1,S,1.1,2,0,1.1,,,,,,,,,,,,
T1 225,,0,,1.5,,,,1,,1.1,0,0,1.2,0%,0%,0%,0%,0%,0%,0%,0%,2.5%,2.5%,,
