Coordinates,Exposure of S. caninervis,Number of S. caninervis sporophytes,Stem height,Stem height:  exposed,Stem height: shaded,Number of inflorescences,No. Infl. per expressing ramet: exposed,No. Infl. per expressing ramet: shaded,"Sex (M,F,S)",Stem height sorted,No.  inflor by sorted st ht,No.  inflor sorted,St ht sorted by no. infl,Syntrichia caninervis cover,Syntrichia ruralis cover,Bryum algovicum cover,Bryum argenteum cover,Pterogoneurum spp. cover,Grimmia cover,Unknown sp. cover,Total bryophyte cover,Total lichen cover,Total cryptogam cover,,
T2 285,I,,3.2,2.6,1.8,0,,,S,1.5,0,0,1.5,,,,,,,,,,,,
T2 285,I,,1.8,2.3,2.8,0,,,S,1.5,0,0,1.5,,,,,,,,,,,,
T2 285,I,,2,2.3,3.2,0,,,S,1.5,0,0,1.5,,,,,,,,,,,,
T2 285,I,,1.6,2.9,3,0,,,S,1.5,0,0,1.5,,,,,,,,,,,,
T2 300,,0,,2.6,2.8,,,,,1.5,0,0,1.5,0%,0%,2.50%,0%,0%,0%,0%,2.5%,10%,12.5%,,
T2 315,O,0,1.9,2.8,3,0,,,S,1.5,0,0,1.5,2.50%,0%,0%,0%,0%,0%,0%,2.5%,10%,12.5%,,
T2 315,O,,1.5,2.2,3,0,,,S,1.5,0,0,1.5,,,,,,,,,,,,
T2 315,O,,2.5,2.8,2.2,0,,,S,1.5,0,0,1.5,,,,,,,,,,,,
T2 315,O,,1.8,1.6,2.5,0,,,S,1.5,0,0,1.5,,,,,,,,,,,,
T2 315,O,,1.7,2.6,2.9,0,,,S,1.5,0,0,1.5,,,,,,,,,,,,
T2 315,O,,1.8,1.4,2.6,0,,,S,1.5,0,0,1.5,,,,,,,,,,,,
T2 315,O,,2,1.5,,0,,,S,1.5,0,0,1.5,,,,,,,,,,,,
T2 315,O,,1.8,1.4,,0,,,S,1.5,0,0,1.5,,,,,,,,,,,,
T2 315,O,,1.5,1.8,,0,,,S,1.5,0,0,1.5,,,,,,,,,,,,
T2 315,O,,2,1.9,,0,,,S,1.5,0,0,1.5,,,,,,,,,,,,
T2 330,U,0,2.2,1.1,,1,,,F,1.5,0,0,1.5,2.50%,0%,2.50%,0%,0%,0%,0%,5.00%,2.5%,7.5%,,
T2 330,U,,2.3,1.5,,1,,,F,1.5,0,0,1.5,,,,,,,,,,,,
T2 330,U,,2,1.1,,0,,,S,1.5,0,0,1.5,,,,,,,,,,,,
T2 330,U,,2.4,1.6,1.6,0,,,S,1.5,0,0,1.5,,,,,,,,,,,,
T2 330,U,,2.3,1,1.9,0,,,S,1.5,0,0,1.5,,,,,,,,,,,,
T2 330,U,,1.9,2.3,1.1,0,,,S,1.5,0,0,1.5,,,,,,,,,,,,
T2 330,U,,2.5,2,2.4,0,,,S,1.5,0,0,1.6,,,,,,,,,,,,
T2 330,U,,1.5,2,1.5,0,,,S,1.5,1,0,1.6,,,,,,,,,,,,
T2 330,U,,1.5,2.3,2,0,,,S,1.5,0,0,1.6,,,,,,,,,,,,
T2 330,U,,2,2.9,2.1,0,,,S,1.5,0,0,1.6,,,,,,,,,,,,
T2 345,I,0,1.8,2.2,2,0,,,S,1.5,0,0,1.6,40%,0%,2.50%,0%,0%,0%,0%,42.5%,0%,42.5%,,
T2 345,I,,1.8,2.2,2,0,,,S,1.5,0,0,1.6,,,,,,,,,,,,
T2 345,I,,2.4,2,1.5,0,,,S,1.5,0,0,1.6,,,,,,,,,,,,
T2 345,I,,1.9,1.6,,0,,,S,1.5,0,0,1.6,,,,,,,,,,,,
T2 345,I,,1.5,2.2,3.5,0,,,S,1.5,0,0,1.6,,,,,,,,,,,,
T2 345,I,,1.8,2.3,4.2,0,,,S,1.5,0,0,1.6,,,,,,,,,,,,
T2 345,I,,1.8,2.1,3,0,,,S,1.6,0,0,1.6,,,,,,,,,,,,
T2 345,I,,1.3,2,3.5,0,,,S,1.6,0,0,1.6,,,,,,,,,,,,
T2 345,I,,1.4,2.1,3.2,0,,,S,1.6,0,0,1.6,,,,,,,,,,,,
T2 345,I,,1,2.1,3.1,0,,,S,1.6,0,0,1.6,,,,,,,,,,,,
T2 360,U,0,2.7,2.4,3.3,0,,,S,1.6,0,0,1.6,2.50%,0%,0%,0%,0%,0%,0%,2.50%,2.5%,5.0%,,
T2 360,U,,1.9,1.8,3.5,1,,,F,1.6,0,0,1.6,,,,,,,,,,,,
T2 360,U,,2.4,1.8,3,0,,,S,1.6,0,0,1.6,,,,,,,,,,,,
T2 360,U,,1.5,2,2.9,0,,,S,1.6,0,0,1.6,,,,,,,,,,,,
T2 360,U,,1.6,1.8,,0,,,S,1.6,0,0,1.6,,,,,,,,,,,,
T2 360,U,,2.8,1.8,2.3,0,,,S,1.6,0,0,1.6,,,,,,,,,,,,
T2 360,U,,2.3,2,1.7,0,,,S,1.6,0,0,1.6,,,,,,,,,,,,
T2 360,U,,2.1,2.4,2,0,,,S,1.6,0,0,1.6,,,,,,,,,,,,
T2 360,U,,1.9,1.9,2.1,0,,,S,1.6,0,0,1.6,,,,,,,,,,,,
T2 360,U,,2.7,1.2,2.3,0,,,S,1.6,0,0,1.6,,,,,,,,,,,,
T2 375,U,0,1.2,1.6,2.1,0,,,S,1.6,0,0,1.6,5%,0%,0%,0%,0%,0%,0%,5%,10%,15.0%,,
T2 375,U,,0.8,1.9,2.3,0,,,S,1.6,0,0,1.6,,,,,,,,,,,,
T2 375,U,,1.3,2,2.5,0,,,S,1.6,0,0,1.6,,,,,,,,,,,,
T2 375,U,,1.2,1.4,1.9,0,,,S,1.6,0,0,1.6,,,,,,,,,,,,
T2 375,U,,1.2,1.2,2,0,,,S,1.6,0,0,1.6,,,,,,,,,,,,
T2 375,U,,2,1.3,,0,,,S,1.6,0,0,1.6,,,,,,,,,,,,
T2 375,U,,1.3,3,,0,,,S,1.6,0,0,1.6,,,,,,,,,,,,
T2 375,U,,1.6,2.4,2.3,0,,,S,1.6,0,0,1.6,,,,,,,,,,,,
T2 375,U,,1.3,1.6,3.4,0,,,S,1.6,0,0,1.6,,,,,,,,,,,,
T2 375,U,,1,2,3.1,0,,,S,1.6,0,0,1.6,,,,,,,,,,,,
T2 390,O,0,1.5,1.9,1.8,0,,,S,1.6,0,0,1.6,2.50%,0%,0%,2.50%,2.50%,0%,0%,7.50%,2.5%,10.0%,,
T2 390,O,,1,2.3,2.8,0,,,S,1.6,0,0,1.6,,,,,,,,,,,,
T2 390,O,,1.2,1.2,2.6,0,,,S,1.6,0,0,1.6,,,,,,,,,,,,
T2 390,O,,1.1,0.6,2.2,0,,,S,1.6,0,0,1.6,,,,,,,,,,,,
T2 390,O,,1.6,1.3,2.1,0,,,S,1.6,0,0,1.6,,,,,,,,,,,,
T2 390,O,,1.3,1.3,2.3,0,,,S,1.6,0,0,1.6,,,,,,,,,,,,
T2 390,O,,1.2,1.7,2.2,0,,,S,1.6,0,0,1.6,,,,,,,,,,,,
T2 390,O,,1.5,2,,0,,,S,1.6,0,0,1.6,,,,,,,,,,,,
T2 390,O,,1,2.2,,0,,,S,1.6,0,0,1.6,,,,,,,,,,,,
T2 390,O,,0.9,2,,0,,,S,1.6,0,0,1.6,,,,,,,,,,,,
T2 405,U,0,2.5,0.7,,0,,,S,1.6,0,0,1.6,2.50%,0%,0%,0%,0%,0%,0%,2.50%,2.5%,5.0%,,
T2 405,U,,2.6,0.8,2.9,0,,,S,1.6,0,0,1.6,,,,,,,,,,,,
T2 405,U,,2.1,0.9,3.1,0,,,S,1.6,0,0,1.6,,,,,,,,,,,,
T2 405,U,,3.2,1.8,2.9,1,,,F,1.6,0,0,1.7,,,,,,,,,,,,
T2 405,U,,2.1,1.8,3,0,,,S,1.6,0,0,1.7,,,,,,,,,,,,
T2 405,U,,2,1.8,2.7,0,,,S,1.6,0,0,1.7,,,,,,,,,,,,
T2 405,U,,2,1.3,2.3,0,,,S,1.6,0,0,1.7,,,,,,,,,,,,
T2 405,U,,2.5,1.8,2.1,0,,,S,1.6,0,0,1.7,,,,,,,,,,,,
T2 405,U,,2,1.3,2.3,0,,,S,1.6,0,0,1.7,,,,,,,,,,,,
T2 405,U,,2.6,1.7,2.8,0,,,S,1.6,0,0,1.7,,,,,,,,,,,,
T2 420,U,0,,1.9,1.4,,,,,1.6,0,0,1.7,0%,0%,0%,0%,0%,0%,0%,0%,2.5%,2.5%,,
T2 435,O,0,2.2,1.8,2.6,0,,,S,1.6,0,0,1.7,30%,0%,0%,0%,0%,0%,0%,0%,0%,0.0%,,
T2 435,O,,1.8,1.7,2.8,0,,,S,1.6,0,0,1.7,,,,,,,,,,,,
T2 435,O,,2.2,1.6,2.8,0,,,S,1.7,0,0,1.7,,,,,,,,,,,,
T2 435,O,,2.5,1.2,2.9,1,,,F,1.7,0,0,1.7,,,,,,,,,,,,
T2 435,O,,2,,2.3,0,,,S,1.7,0,0,1.7,,,,,,,,,,,,
T2 435,O,,2.6,,2.8,1,,,F,1.7,0,0,1.7,,,,,,,,,,,,
T2 435,O,,2,1.3,2.8,0,,,S,1.7,1,0,1.7,,,,,,,,,,,,
T2 435,O,,2.9,1,2.7,0,,,S,1.7,0,0,1.7,,,,,,,,,,,,
T2 435,O,,2.9,2.1,2.8,0,,,S,1.7,0,0,1.7,,,,,,,,,,,,
T2 435,O,,2,2.3,2.8,0,,,S,1.7,0,0,1.7,,,,,,,,,,,,
T2 450,,0,,1.5,2.5,,,,,1.7,0,0,1.7,0%,0%,0%,0%,0%,0%,0%,0%,2.5%,2.5%,,
T2 465,I,0,2.2,0.8,2,0,,,S,1.7,0,0,1.7,20%,0%,5,0%,0%,0%,0%,3%,0%,2.5%,,
T2 465,I,,2.3,1.4,1.8,0,,,S,1.7,0,0,1.7,,,,,,,,,,,,
T2 465,I,,2.9,1.8,2.1,0,,,S,1.7,0,0,1.7,,,,,,,,,,,,
T2 465,I,,3.2,1.2,2.4,1,,,F,1.7,0,0,1.7,,,,,,,,,,,,
T2 465,I,,2,1.1,2.5,0,,,S,1.7,0,0,1.7,,,,,,,,,,,,
T2 465,I,,2.2,,1.8,0,,,S,1.7,0,0,1.7,,,,,,,,,,,,
T2 465,I,,3,,1.6,0,,,S,1.7,0,0,1.7,,,,,,,,,,,,
T2 465,I,,3,,2.4,0,,,S,1.7,0,0,1.7,,,,,,,,,,,,
T2 465,I,,2.1,,1.5,0,,,S,1.7,0,0,1.7,,,,,,,,,,,,
T2 465,I,,1.7,,1.7,0,,,S,1.7,0,0,1.8,,,,,,,,,,,,
T2 480,,0,,,1.9,,,,,1.7,0,0,1.8,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.0%,,
T2 495,,0,,,1.6,,,,,1.7,0,0,1.8,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.0%,,
T2 510,,0,,,1.9,,,,,1.7,0,0,1.8,0%,0%,0%,0%,0%,0%,0%,0%,5%,5.0%,,
T2 525,,0,,,2.5,,,,,1.7,0,0,1.8,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.0%,,
T2 540,,0,,,1.8,,,,,1.7,0,0,1.8,0%,0%,0%,0%,0%,0%,0%,0%,2.5%,2.5%,,
T2 555,O,0,2,,1.3,0,,,S,1.7,0,0,1.8,20%,0%,0%,0%,0%,0%,0%,20%,2.5%,22.5%,,
T2 555,O,,2.6,,1.6,0,,,S,1.7,1,0,1.8,,,,,,,,,,,,
T2 555,O,,1.8,,1.7,0,,,S,1.7,0,0,1.8,,,,,,,,,,,,
T2 555,O,,1.6,,1.6,0,,,S,1.7,0,0,1.8,,,,,,,,,,,,
T2 555,O,,1.5,,3.6,0,,,S,1.7,0,0,1.8,,,,,,,,,,,,
T2 555,O,,2,,2.9,0,,,S,1.7,0,0,1.8,,,,,,,,,,,,
T2 555,O,,1,,1.6,0,,,S,1.8,0,0,1.8,,,,,,,,,,,,
T2 555,O,,1.3,,1.9,0,,,S,1.8,0,0,1.8,,,,,,,,,,,,
T2 555,O,,1,,2,0,,,S,1.8,0,0,1.8,,,,,,,,,,,,
T2 555,O,,1,,1.8,0,,,S,1.8,0,0,1.8,,,,,,,,,,,,
T2 570,O,0,1.6,,3.7,0,,,S,1.8,0,0,1.8,5%,0%,2.50%,0%,0%,0%,0%,7.5%,30%,37.5%,,
T2 570,O,,1.4,,1,0,,,S,1.8,0,0,1.8,,,,,,,,,,,,
T2 570,O,,1.6,,1.1,0,,,S,1.8,0,0,1.8,,,,,,,,,,,,
T2 570,O,,1.7,,1.2,0,,,S,1.8,0,0,1.8,,,,,,,,,,,,
T2 570,O,,1.8,,4,0,,,S,1.8,0,0,1.8,,,,,,,,,,,,
T2 570,O,,2.1,,3,0,,,S,1.8,0,0,1.8,,,,,,,,,,,,
T2 570,O,,0.9,,2.5,0,,,S,1.8,0,0,1.8,,,,,,,,,,,,
T2 570,O,,1.7,,3.6,0,,,S,1.8,0,0,1.8,,,,,,,,,,,,
T2 570,O,,1,,1.9,0,,,S,1.8,0,0,1.8,,,,,,,,,,,,
T2 570,O,,1.3,,2.6,0,,,S,1.8,0,0,1.8,,,,,,,,,,,,
T2 585,I,0,2.2,,3.2,0,,,S,1.8,0,0,1.8,2.50%,0%,2.50%,2.50%,0%,0%,0%,7.50%,2.5%,10.0%,,
T2 585,I,,2.5,,3.1,0,,,S,1.8,0,0,1.8,,,,,,,,,,,,
T2 585,I,,2.2,,1.4,0,,,S,1.8,0,0,1.8,,,,,,,,,,,,
T2 585,I,,3.1,,2.3,0,,,S,1.8,0,0,1.8,,,,,,,,,,,,
T2 585,I,,1.9,,2.8,0,,,S,1.8,0,0,1.8,,,,,,,,,,,,
T2 585,I,,2,,2.2,0,,,S,1.8,0,0,1.8,,,,,,,,,,,,
T2 585,I,,1.2,,2.4,0,,,S,1.8,0,0,1.8,,,,,,,,,,,,
T2 585,I,,1.5,,2.8,0,,,S,1.8,0,0,1.8,,,,,,,,,,,,
T2 585,I,,1.2,,2.5,0,,,S,1.8,0,0,1.8,,,,,,,,,,,,
T2 585,I,,1.4,,1.5,0,,,S,1.8,0,0,1.8,,,,,,,,,,,,
T2 600,I,0,1.6,,2,0,,,S,1.8,0,0,1.8,20%,0%,0%,0%,0%,0%,0%,20%,0%,20.0%,,
T2 600,I,,1.2,,2.3,0,,,S,1.8,0,0,1.8,,,,,,,,,,,,
T2 600,I,,2.2,,1.9,0,,,S,1.8,0,0,1.8,,,,,,,,,,,,
T2 600,I,,1.2,,1.8,0,,,S,1.8,0,0,1.8,,,,,,,,,,,,
T2 600,I,,2,,1.5,0,,,S,1.8,0,0,1.8,,,,,,,,,,,,
T2 600,I,,0.8,,2.5,0,,,S,1.8,0,0,1.8,,,,,,,,,,,,
T2 600,I,,2.1,,1.9,0,,,S,1.8,0,0,1.8,,,,,,,,,,,,
T2 600,I,,1.3,,2.1,0,,,S,1.8,0,0,1.8,,,,,,,,,,,,
T2 600,I,,1.8,,2,0,,,S,1.8,0,0,1.8,,,,,,,,,,,,
T2 600,I,,0.7,,2.3,0,,,S,1.8,0,0,1.8,,,,,,,,,,,,
T2 615,,0,,,2,,,,,1.8,0,0,1.8,0%,5%,0%,0%,0%,0%,0%,5%,0%,5.0%,,
T2 630,,0,,,2,,,,,1.8,0,0,1.8,0%,0%,0%,0%,0%,0%,0%,0%,2.5%,2.5%,,
T2 645,I,0,3,,2.2,0,,,S,1.8,0,0,1.8,5%,0%,0%,0%,0%,0%,0%,5%,0%,5.0%,,
T2 645,I,,2,,1.9,0,,,S,1.8,0,0,1.8,,,,,,,,,,,,
T2 645,I,,2.2,,2.6,0,,,S,1.8,0,0,1.8,,,,,,,,,,,,
T2 645,I,,2.2,,3.4,0,,,S,1.8,0,0,1.8,,,,,,,,,,,,
T2 645,I,,3,,2.7,0,,,S,1.8,0,0,1.8,,,,,,,,,,,,
T2 645,I,,2,,2.2,0,,,S,1.8,0,0,1.8,,,,,,,,,,,,
T2 645,I,,2.3,,1.9,0,,,F,1.8,0,0,1.8,,,,,,,,,,,,
T2 645,I,,2.3,,2.8,1,,,S,1.8,0,0,1.8,,,,,,,,,,,,
T2 645,I,,2,,2.8,1,,,F,1.8,0,0,1.8,,,,,,,,,,,,
T2 645,I,,1.8,,1.8,0,,,S,1.8,0,0,1.8,,,,,,,,,,,,
T2 660,,0,,,1.5,,,,,1.8,0,0,1.8,0%,0%,0%,0%,0%,0%,0%,0%,2.5%,2.5%,,
T2 675,,0,,,2.2,,,,,1.8,0,0,1.8,0%,0%,2.50%,2.50%,0%,0%,0%,5%,20%,25.0%,,
T2 690,O,0,2.6,,2.6,0,,,S,1.8,0,0,1.8,2.50%,0%,5%,20%,0%,0%,0%,27.5%,2.5%,30.0%,,
T2 690,O,,2.2,,2,0,,,S,1.8,1,0,1.8,,,,,,,,,,,,
T2 690,O,,2.2,,2,0,,,S,1.8,0,0,1.8,,,,,,,,,,,,
T2 690,O,,1.8,,2.1,0,,,S,1.8,0,0,1.8,,,,,,,,,,,,
T2 690,O,,2.2,,1.3,0,,,S,1.8,1,0,1.8,,,,,,,,,,,,
T2 690,O,,2.3,,1.6,0,,,S,1.8,1,0,1.8,,,,,,,,,,,,
T2 690,O,,1.7,,1.2,0,,,S,1.8,0,0,1.9,,,,,,,,,,,,
T2 690,O,,1.5,,1.8,0,,,S,1.8,0,0,1.9,,,,,,,,,,,,
T2 690,O,,1.8,,2.2,0,,,S,1.8,0,0,1.9,,,,,,,,,,,,
T2 690,O,,2.2,,1.3,0,,,S,1.8,1,0,1.9,,,,,,,,,,,,
T2 705,,0,,,1.8,,,,,1.8,0,0,1.9,0%,0%,0%,0%,0%,0%,0%,0%,2.5%,2.5%,,
T2 720,,0,,,2.1,,,,,1.8,0,0,1.9,0%,0%,0%,2.50%,0%,0%,0%,3%,0%,2.5%,,
T2 735,,0,,,1.3,,,,,1.8,0,0,1.9,0%,0%,0%,0%,0%,0%,0%,0%,5%,5.0%,,
T2 750,I,6,2.8,,2.2,1,,,F,1.8,0,0,1.9,30%,0%,0%,2.50%,0%,0%,20%,52.5%,0%,52.5%,,
T2 750,I,,3.2,,2.1,0,,,S,1.8,1,0,1.9,,,,,,,,,,,,
T2 750,I,,3,,2.1,1,,,F,1.8,0,0,1.9,,,,,,,,,,,,
T2 750,I,,2.8,,2,1,,,F,1.8,0,0,1.9,,,,,,,,,,,,
T2 750,I,,3,,2.4,1,,,F,1.8,0,0,1.9,,,,,,,,,,,,
T2 750,I,,3,,1.9,0,,,S,1.8,0,0,1.9,,,,,,,,,,,,
T2 750,I,,2.2,,2.1,0,,,S,1.8,0,0,1.9,,,,,,,,,,,,
T2 750,I,,2.5,,,0,,,S,1.8,0,0,1.9,,,,,,,,,,,,
T2 750,I,,2.9,,,1,,,F,1.8,0,0,1.9,,,,,,,,,,,,
T2 750,I,,2.6,,,1,,,F,1.8,0,0,1.9,,,,,,,,,,,,
T2 765,,0,,,,,,,,1.9,0,0,1.9,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.0%,,
T3 15,,0,,,,,,,,1.9,0,0,1.9,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.0%,,
T3 30,,0,,,,,,,,1.9,0,0,1.9,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.0%,,
T3 45,,0,,,,,,,,1.9,0,0,1.9,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.0%,,
T3 60,,0,,,1.3,,,,,1.9,0,0,1.9,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.0%,,
T3 75,,0,,,1.9,,,,,1.9,0,0,1.9,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.0%,,
T3 90,,0,,,2.6,,,,,1.9,0,0,1.9,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.0%,,
T3 105,I,0,1.6,,1.4,0,,,S,1.9,0,0,1.9,5%,0%,0%,0%,2.50%,0%,3%,10%,0%,10.0%,,
T3 105,I,,1.9,,2.1,0,,,S,1.9,0,0,1.9,,,,,,,,,,,,
T3 105,I,,1.1,,1.7,0,,,S,1.9,0,0,1.9,,,,,,,,,,,,
T3 105,I,,2.4,,2.3,0,,,S,1.9,0,0,1.9,,,,,,,,,,,,
T3 105,I,,1.5,,1.3,0,,,S,1.9,0,0,1.9,,,,,,,,,,,,
T3 105,I,,2,,2.1,0,,,S,1.9,0,0,1.9,,,,,,,,,,,,
T3 105,I,,2.1,,1.5,0,,,S,1.9,0,0,1.9,,,,,,,,,,,,
T3 105,I,,2,,,0,,,S,1.9,0,0,1.9,,,,,,,,,,,,
T3 105,I,,2,,,0,,,S,1.9,0,0,1.9,,,,,,,,,,,,
T3 105,I,,1.5,,,0,,,S,1.9,0,0,1.9,,,,,,,,,,,,
T3 120,,0,,,,,,,,1.9,0,0,1.9,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.0%,,
T3 135,,0,3.5,,,1,,,F,1.9,0,0,1.9,5%,0%,0%,0%,0%,0%,0%,5%,5%,10.0%,,
T3 135,,,4.2,,1.4,1,,,F,1.9,0,0,1.9,,,,,,,,,,,,
T3 135,,,3,,2,0,,,S,1.9,0,0,1.9,,,,,,,,,,,,
T3 135,,,3.5,,1.8,1,,,F,1.9,0,0,1.9,,,,,,,,,,,,
T3 135,,,3.2,,2.3,0,,,S,1.9,1,0,1.9,,,,,,,,,,,,
T3 135,,,3.1,,2.9,0,,,S,1.9,0,0,1.9,,,,,,,,,,,,
T3 135,,,3.3,,2,0,,,S,1.9,0,0,1.9,,,,,,,,,,,,
T3 135,,,3.5,,2.5,0,,,S,1.9,0,0,1.9,,,,,,,,,,,,
T3 135,,,3,,1.5,0,,,S,1.9,0,0,1.9,,,,,,,,,,,,
T3 135,,,2.9,,1.8,0,,,S,1.9,0,0,1.9,,,,,,,,,,,,
T3 150,,0,,,0.5,,,,,1.9,0,0,1.9,0%,0%,2.50%,0%,0%,0%,0%,2.5%,0%,2.5%,,
T3 165,I,0,2.3,,0.9,0,,,S,1.9,0,0,2,2.50%,0%,0%,0%,0%,0%,0%,2.5%,0%,2.5%,,
T3 165,I,,1.7,,1,0,,,S,1.9,0,0,2,,,,,,,,,,,,
T3 165,I,,2,,1.4,0,,,S,1.9,1,0,2,,,,,,,,,,,,
T3 165,I,,2.1,,1.1,0,,,S,1.9,0,0,2,,,,,,,,,,,,
T3 165,I,,2.3,,0.8,0,,,S,1.9,0,0,2,,,,,,,,,,,,
T3 165,I,,2.1,,1,0,,,S,1.9,0,0,2,,,,,,,,,,,,
T3 165,I,,2.3,,1,0,,,S,1.9,0,0,2,,,,,,,,,,,,
T3 165,I,,2.5,,0.6,0,,,S,1.9,0,0,2,,,,,,,,,,,,
T3 165,I,,1.9,,0.7,0,,,S,1.9,0,0,2,,,,,,,,,,,,
T3 165,I,,2,,1,0,,,S,1.9,0,0,2,,,,,,,,,,,,
T3 180,,0,,,2.3,,,,,1.9,0,0,2,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.0%,,
T3 195,,0,,,2.1,,,,,1.9,0,0,2,0%,0%,0%,0%,0%,0%,0%,0%,2.5%,2.5%,,
T3 210,U,0,2.3,,2.1,0,,,S,1.9,0,0,2,10%,0%,0%,0%,0%,0%,0%,10%,0%,0.0%,,
T3 210,U,,3.4,,2,2,,,F,1.9,1,0,2,,,,,,,,,,,,
T3 210,U,,3.1,,2.5,0,,,S,1.9,0,0,2,,,,,,,,,,,,
T3 210,U,,1.8,,1.9,0,,,S,1.9,0,0,2,,,,,,,,,,,,
T3 210,U,,2.8,,1.8,0,,,S,1.9,0,0,2,,,,,,,,,,,,
T3 210,U,,2.6,,1.8,0,,,S,1.9,0,0,2,,,,,,,,,,,,
T3 210,U,,2.2,,1.8,0,,,S,1.9,0,0,2,,,,,,,,,,,,
T3 210,U,,2.1,,3.1,0,,,S,1.9,1,0,2,,,,,,,,,,,,
T3 210,U,,2.3,,0.8,0,,,S,1.9,1,0,2,,,,,,,,,,,,
T3 210,U,,2.2,,1.1,0,,,S,1.9,0,0,2,,,,,,,,,,,,
T3 225,,0,,,0.9,,,,,2,0,0,2,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.0%,,
T3 240,,0,,,2.2,,,,,2,0,0,2,0%,0%,0%,0%,0%,0%,0%,0%,2.5%,2.5%,,
T3 255,,0,,,1.2,,,,,2,0,0,2,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.0%,,
T3 270,,0,,,1.5,,,,,2,0,0,2,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.0%,,
T3 285,I,0,2.9,,1.1,1,,,F,2,0,0,2,20%,0%,0%,0%,0%,0%,0%,20%,60%,80.0%,,
T3 285,I,,3.1,,0.9,0,,,S,2,0,0,2,,,,,,,,,,,,
T3 285,I,,2.9,,0.8,1,,,F,2,0,0,2,,,,,,,,,,,,
T3 285,I,,3,,1.2,0,,,S,2,0,0,2,,,,,,,,,,,,
T3 285,I,,2.7,,3.2,0,,,S,2,0,0,2,,,,,,,,,,,,
T3 285,I,,2.3,,2,0,,,S,2,0,0,2,,,,,,,,,,,,
T3 285,I,,2.1,,2.3,1,,,F,2,0,0,2,,,,,,,,,,,,
T3 285,I,,2.3,,3.3,1,,,F,2,0,0,2,,,,,,,,,,,,
T3 285,I,,2.8,,2.5,0,,,S,2,0,0,2,,,,,,,,,,,,
T3 285,I,,1.4,,2,1,,,F,2,0,0,2,,,,,,,,,,,,
T3 300,I,0,2.6,,2,1,,,F,2,0,0,2,40%,0%,0%,0%,0%,0%,0%,40%,0%,40.0%,,
T3 300,I,,2.8,,1.1,1,,,F,2,0,0,2,,,,,,,,,,,,
T3 300,I,,2.8,,3.2,3,,,F,2,0,0,2,,,,,,,,,,,,
T3 300,I,,2.9,,2.8,1,,,F,2,0,0,2,,,,,,,,,,,,
T3 300,I,,2.3,,1.8,1,,,F,2,0,0,2,,,,,,,,,,,,
T3 300,I,,2.8,,1.5,3,,,F,2,0,0,2,,,,,,,,,,,,
T3 300,I,,2.8,,1.7,1,,,F,2,0,0,2,,,,,,,,,,,,
T3 300,I,,2.7,,1.4,2,,,F,2,0,0,2,,,,,,,,,,,,
T3 300,I,,2.8,,1.2,1,,,F,2,0,0,2,,,,,,,,,,,,
T3 300,I,,2.8,,1.8,3,,,F,2,0,0,2,,,,,,,,,,,,
T3 315,O,0,2.5,,1.4,0,,,S,2,0,0,2,40%,0%,0%,0%,0%,0%,0%,40%,40%,80.0%,,
T3 315,O,,2.4,,1.2,0,,,S,2,0,0,2,,,,,,,,,,,,
T3 315,O,,1.4,,1.7,0,,,S,2,0,0,2,,,,,,,,,,,,
T3 315,O,,2.1,,1.1,0,,,S,2,0,0,2,,,,,,,,,,,,
T3 315,O,,2,,2.5,0,,,S,2,0,0,2,,,,,,,,,,,,
T3 315,O,,2,,2.5,0,,,S,2,0,0,2,,,,,,,,,,,,
T3 315,O,,1.5,,2.6,0,,,S,2,0,0,2,,,,,,,,,,,,
T3 315,O,,1.5,,4.5,0,,,S,2,0,0,2,,,,,,,,,,,,
T3 315,O,,1.8,,3,0,,,S,2,0,0,2,,,,,,,,,,,,
T3 315,O,,1.8,,2.5,0,,,S,2,0,0,2,,,,,,,,,,,,
T3 330,O,0,3.2,,2.8,1,,,F,2,0,0,2,40%,0%,0%,0%,2.50%,0%,0%,42.5%,40%,82.5%,,
T3 330,O,,2.7,,1.5,2,,,F,2,0,0,2,,,,,,,,,,,,
T3 330,O,,2.8,,3.2,0,,,S,2,0,0,2,,,,,,,,,,,,
T3 330,O,,2.8,,3,1,,,F,2,1,0,2,,,,,,,,,,,,
T3 330,O,,1.3,,2.5,0,,,S,2,0,0,2,,,,,,,,,,,,
T3 330,O,,1.2,,2,0,,,S,2,0,0,2,,,,,,,,,,,,
T3 330,O,,2,,1.8,0,,,S,2,0,0,2,,,,,,,,,,,,
T3 330,O,,1.5,,2.1,0,,,S,2,0,0,2,,,,,,,,,,,,
