Genomics_ID,Sample_ID,Collector,Collection Year,Extraction #,PCR #,DIGEST #,Inferred Genetic Sex,NOTES,Gel Date,Lab
T1-165.2,BOWKER-T1-165.2,M. Bowker,1997,,D6,29,F,DIRECT LEAF PCR,,Mishler
T1-165.3,BOWKER-T1-165.3,M. Bowker,1997,,D6,29,,DIRECT LEAF PCR,,Mishler
T1-165.4,BOWKER-T1-165.4,M. Bowker,1997,,D6,29,F,DIRECT LEAF PCR,,Mishler
T1-165.5,BOWKER-T1-165.5,M. Bowker,1997,,D6,29,F,DIRECT LEAF PCR,,Mishler
T1-165.6,BOWKER-T1-165.6,M. Bowker,1997,,D6,29,F,DIRECT LEAF PCR,,Mishler
T1-165.7,BOWKER-T1-165.7,M. Bowker,1997,,D6,29,F,DIRECT LEAF PCR,,Mishler
T1-165.8,BOWKER-T1-165.8,M. Bowker,1997,,D6,29,F,DIRECT LEAF PCR,,Mishler
T1-165.9,BOWKER-T1-165.9,M. Bowker,1997,,D6,29,,DIRECT LEAF PCR,,Mishler
T1-165.10,BOWKER-T1-165.10,M. Bowker,1997,,D6,29,,DIRECT LEAF PCR,,Mishler
T1-180.1,BOWKER-T1-180.1,M. Bowker,1997,,D7,30,F,DIRECT LEAF PCR,,Mishler
T1-180.2,BOWKER-T1-180.2,M. Bowker,1997,,D7,30,F,DIRECT LEAF PCR,,Mishler
T1-180.3,BOWKER-T1-180.3,M. Bowker,1997,,D7,30,F,DIRECT LEAF PCR,,Mishler
T1-180.4,BOWKER-T1-180.4,M. Bowker,1997,,D7,30,F,DIRECT LEAF PCR,,Mishler
T1-180.5,BOWKER-T1-180.5,M. Bowker,1997,,D7,30,,DIRECT LEAF PCR,,Mishler
T1-180.6,BOWKER-T1-180.6,M. Bowker,1997,,D7,30,F,DIRECT LEAF PCR,,Mishler
T1-180.7,BOWKER-T1-180.7,M. Bowker,1997,,D7,30,F,DIRECT LEAF PCR,,Mishler
T1-180.8,BOWKER-T1-180.8,M. Bowker,1997,,D7,30,F,DIRECT LEAF PCR,,Mishler
T1-180.9,BOWKER-T1-180.9,M. Bowker,1997,,D7,30,F,DIRECT LEAF PCR,,Mishler
T1-180.10,BOWKER-T1-180.10,M. Bowker,1997,,D7,30,F,DIRECT LEAF PCR,,Mishler
T1-195.1,BOWKER-T1-195.1,M. Bowker,1997,,D7,30,F,DIRECT LEAF PCR,,Mishler
T1-195.2,BOWKER-T1-195.2,M. Bowker,1997,,D7,30,F,DIRECT LEAF PCR,,Mishler
T1-195.3,BOWKER-T1-195.3,M. Bowker,1997,,D7,30,F,DIRECT LEAF PCR,,Mishler
T1-195.4,BOWKER-T1-195.4,M. Bowker,1997,,D7,30,F,DIRECT LEAF PCR,,Mishler
T1-195.5,BOWKER-T1-195.5,M. Bowker,1997,,D7,30,F,DIRECT LEAF PCR,,Mishler
T1-195.6,BOWKER-T1-195.6,M. Bowker,1997,,D8,31,F,DIRECT LEAF PCR,,Mishler
T1-195.7,BOWKER-T1-195.7,M. Bowker,1997,,D8,31,F,DIRECT LEAF PCR,,Mishler
T1-195.8,BOWKER-T1-195.8,M. Bowker,1997,,D8,31,F,DIRECT LEAF PCR,,Mishler
T1-195.9,BOWKER-T1-195.9,M. Bowker,1997,,D8,31,F,DIRECT LEAF PCR,,Mishler
T1-195.10,BOWKER-T1-195.10,M. Bowker,1997,,D8,31,F,DIRECT LEAF PCR,,Mishler
T1-240.1,BOWKER-T1-240.1,M. Bowker,1997,,D8,31,F,DIRECT LEAF PCR,,Mishler
T1-240.2,BOWKER-T1-240.2,M. Bowker,1997,,D8,31,F,DIRECT LEAF PCR,,Mishler
T1-240.3,BOWKER-T1-240.3,M. Bowker,1997,,D8,31,F,DIRECT LEAF PCR,,Mishler
T1-240.4,BOWKER-T1-240.4,M. Bowker,1997,,D8,31,F,DIRECT LEAF PCR,,Mishler
T1-240.5,BOWKER-T1-240.5,M. Bowker,1997,,D8,31,F,DIRECT LEAF PCR,,Mishler
T1-240.6,BOWKER-T1-240.6,M. Bowker,1997,,D8,31,F,DIRECT LEAF PCR,,Mishler
T1-240.7,BOWKER-T1-240.7,M. Bowker,1997,,D8,31,F,DIRECT LEAF PCR,,Mishler
T1-240.8,BOWKER-T1-240.8,M. Bowker,1997,,D8,31,F,DIRECT LEAF PCR,,Mishler
T1-240.9,BOWKER-T1-240.9,M. Bowker,1997,,D8,31,F,DIRECT LEAF PCR,,Mishler
T1-240.10,BOWKER-T1-240.10,M. Bowker,1997,,D8,31,F,DIRECT LEAF PCR,,Mishler
T2-30.1,BOWKER-T2-30.1,M. Bowker,1997,,D9,31,,DIRECT LEAF PCR,,Mishler
T2-30.2,BOWKER-T2-30.2,M. Bowker,1997,,D9,32,,DIRECT LEAF PCR,,Mishler
T2-30.3,BOWKER-T2-30.3,M. Bowker,1997,,D9,32,,DIRECT LEAF PCR,,Mishler
T2-30.4,BOWKER-T2-30.4,M. Bowker,1997,,D9,32,,DIRECT LEAF PCR,,Mishler
T2-30.5,BOWKER-T2-30.5,M. Bowker,1997,,D9,32,,DIRECT LEAF PCR,,Mishler
T2-30.6,BOWKER-T2-30.6,M. Bowker,1997,,D9,32,F,DIRECT LEAF PCR,,Mishler
T2-30.7,BOWKER-T2-30.7,M. Bowker,1997,,D9,32,M,DIRECT LEAF PCR,,Mishler
T2-30.8,BOWKER-T2-30.8,M. Bowker,1997,,D9,32,F,DIRECT LEAF PCR,,Mishler
T2-30.9,BOWKER-T2-30.9,M. Bowker,1997,,D9,32,,DIRECT LEAF PCR,,Mishler
T2-30.10,BOWKER-T2-30.10,M. Bowker,1997,,D9,32,,DIRECT LEAF PCR,,Mishler
T2-30.11,BOWKER-T2-30.11,M. Bowker,1997,,D16,39,,DIRECT LEAF PCR,,Mishler
T2-30.12,BOWKER-T2-30.12,M. Bowker,1997,,D16,39,,DIRECT LEAF PCR,,Mishler
T2-30.13,BOWKER-T2-30.13,M. Bowker,1997,,D16,39,M,DIRECT LEAF PCR,,Mishler
T2-45.1,BOWKER-T2-45.1,M. Bowker,1997,,D9,32,F,DIRECT LEAF PCR,,Mishler
T2-45.2,BOWKER-T2-45.2,M. Bowker,1997,,D9,32,F,DIRECT LEAF PCR,,Mishler
T2-45.3,BOWKER-T2-45.3,M. Bowker,1997,,D9,32,F,DIRECT LEAF PCR,,Mishler
T2-45.4,BOWKER-T2-45.4,M. Bowker,1997,,D9,32,F,DIRECT LEAF PCR,,Mishler
T2-45.5,BOWKER-T2-45.5,M. Bowker,1997,,D9,32,F,DIRECT LEAF PCR,,Mishler
T2-45.6,BOWKER-T2-45.6,M. Bowker,1997,,D9,32,,DIRECT LEAF PCR,,Mishler
T2-45.7,BOWKER-T2-45.7,M. Bowker,1997,,D9,32,F,DIRECT LEAF PCR,,Mishler
T2-45.8,BOWKER-T2-45.8,M. Bowker,1997,,D9,32,F,DIRECT LEAF PCR,,Mishler
T2-45.9,BOWKER-T2-45.9,M. Bowker,1997,,D9,32,F,DIRECT LEAF PCR,,Mishler
T2-45.10,BOWKER-T2-45.10,M. Bowker,1997,,D9,32,,DIRECT LEAF PCR,,Mishler
T2-45.11,BOWKER-T2-45.11,M. Bowker,1997,,D16,39,F,DIRECT LEAF PCR,,Mishler
T2-45.12,BOWKER-T2-45.12,M. Bowker,1997,,D16,39,,DIRECT LEAF PCR,,Mishler
T2-60.1,BOWKER-T2-60.1,M. Bowker,1997,,D9,32,,DIRECT LEAF PCR,,Mishler
T2-60.2,BOWKER-T2-60.2,M. Bowker,1997,,D9,32,F,DIRECT LEAF PCR,,Mishler
T2-60.3,BOWKER-T2-60.3,M. Bowker,1997,,D9,32,,DIRECT LEAF PCR,,Mishler
T2-60.4,BOWKER-T2-60.4,M. Bowker,1997,,D9,32,F,DIRECT LEAF PCR,,Mishler
T2-60.5,BOWKER-T2-60.5,M. Bowker,1997,,D9,32,F,DIRECT LEAF PCR,,Mishler
T2-60.6,BOWKER-T2-60.6,M. Bowker,1997,,D10,33,,DIRECT LEAF PCR,,Mishler
T2-60.7,BOWKER-T2-60.7,M. Bowker,1997,,D10,33,F,DIRECT LEAF PCR,,Mishler
T2-60.8,BOWKER-T2-60.8,M. Bowker,1997,,D10,33,,DIRECT LEAF PCR,,Mishler
T2-60.9,BOWKER-T2-60.9,M. Bowker,1997,,D10,33,,DIRECT LEAF PCR,,Mishler
T2-60.10,BOWKER-T2-60.10,M. Bowker,1997,,D10,33,,DIRECT LEAF PCR,,Mishler
T2-75.1,BOWKER-T2-75.1,M. Bowker,1997,,D10,33,,DIRECT LEAF PCR,,Mishler
T2-75.2,BOWKER-T2-75.2,M. Bowker,1997,,D10,33,F,DIRECT LEAF PCR,,Mishler
T2-75.3,BOWKER-T2-75.3,M. Bowker,1997,,D10,33,F,DIRECT LEAF PCR,,Mishler
T2-75.4,BOWKER-T2-75.4,M. Bowker,1997,,D10,33,F,DIRECT LEAF PCR,,Mishler
T2-75.5,BOWKER-T2-75.5,M. Bowker,1997,,D10,33,F,DIRECT LEAF PCR,,Mishler
T2-75.6,BOWKER-T2-75.6,M. Bowker,1997,,D10,33,F,DIRECT LEAF PCR,,Mishler
T2-75.7,BOWKER-T2-75.7,M. Bowker,1997,,D10,33,F,DIRECT LEAF PCR,,Mishler
T2-75.8,BOWKER-T2-75.8,M. Bowker,1997,,D10,33,F,DIRECT LEAF PCR,,Mishler
T2-75.9,BOWKER-T2-75.9,M. Bowker,1997,,D10,33,F,DIRECT LEAF PCR,,Mishler
T2-75.10,BOWKER-T2-75.10,M. Bowker,1997,,D10,33,F,DIRECT LEAF PCR,,Mishler
T2-75.11,BOWKER-T2-75.11,M. Bowker,1997,,D16,39,,DIRECT LEAF PCR,,Mishler
T2-75.12,BOWKER-T2-75.12,M. Bowker,1997,,D16,39,,DIRECT LEAF PCR,,Mishler
T2-90.1,BOWKER-T2-90.1,M. Bowker,1997,,D10,33,F,DIRECT LEAF PCR,,Mishler
T2-90.2,BOWKER-T2-90.2,M. Bowker,1997,,D10,33,F,DIRECT LEAF PCR,,Mishler
T2-90.3,BOWKER-T2-90.3,M. Bowker,1997,,D10,33,F,DIRECT LEAF PCR,,Mishler
T2-90.4,BOWKER-T2-90.4,M. Bowker,1997,,D10,33,F,DIRECT LEAF PCR,,Mishler
T2-90.5,BOWKER-T2-90.5,M. Bowker,1997,,D10,33,F,DIRECT LEAF PCR,,Mishler
T2-90.6,BOWKER-T2-90.6,M. Bowker,1997,,D10,33,F,DIRECT LEAF PCR,,Mishler
T2-90.7,BOWKER-T2-90.7,M. Bowker,1997,,D10,33,F,DIRECT LEAF PCR,,Mishler
T2-90.8,BOWKER-T2-90.8,M. Bowker,1997,,D10,33,F,DIRECT LEAF PCR,,Mishler
T2-90.9,BOWKER-T2-90.9,M. Bowker,1997,,D10,33,F,DIRECT LEAF PCR,,Mishler
T2-90.10,BOWKER-T2-90.10,M. Bowker,1997,,D10,33,F,DIRECT LEAF PCR,,Mishler
T2-105.1,BOWKER-T2-105.1,M. Bowker,1997,,D12,35,,DIRECT LEAF PCR,,Mishler
T2-105.2,BOWKER-T2-105.2,M. Bowker,1997,,D12,35,,DIRECT LEAF PCR,,Mishler
T2-105.3,BOWKER-T2-105.3,M. Bowker,1997,,D12,35,,DIRECT LEAF PCR,,Mishler
T2-105.4,BOWKER-T2-105.4,M. Bowker,1997,,D12,35,,DIRECT LEAF PCR,,Mishler
T2-105.5,BOWKER-T2-105.5,M. Bowker,1997,,D12,35,F,DIRECT LEAF PCR,,Mishler
T2-105.6,BOWKER-T2-105.6,M. Bowker,1997,,D12,35,F,DIRECT LEAF PCR,,Mishler
T2-105.7,BOWKER-T2-105.7,M. Bowker,1997,,D12,35,,DIRECT LEAF PCR,,Mishler
T2-105.8,BOWKER-T2-105.8,M. Bowker,1997,,D12,35,F,DIRECT LEAF PCR,,Mishler
T2-105.9,BOWKER-T2-105.9,M. Bowker,1997,,D12,35,F,DIRECT LEAF PCR,,Mishler
T2-105.10,BOWKER-T2-105.10,M. Bowker,1997,,D12,35,M,DIRECT LEAF PCR,,Mishler
T2-105.11,BOWKER-T2-105.11,M. Bowker,1997,,D16,39,,DIRECT LEAF PCR,,Mishler
T2-105.12,BOWKER-T2-105.12,M. Bowker,1997,,D16,39,,DIRECT LEAF PCR,,Mishler
T2-120.1,BOWKER-T2-120.1,M. Bowker,1997,,D12,35,,DIRECT LEAF PCR,,Mishler
T2-120.2,BOWKER-T2-120.2,M. Bowker,1997,,D12,35,,DIRECT LEAF PCR,,Mishler
T2-120.3,BOWKER-T2-120.3,M. Bowker,1997,,D12,35,F,DIRECT LEAF PCR,,Mishler
T2-120.4,BOWKER-T2-120.4,M. Bowker,1997,,D12,35,F,DIRECT LEAF PCR,,Mishler
T2-120.5,BOWKER-T2-120.5,M. Bowker,1997,,D12,35,F,DIRECT LEAF PCR,,Mishler
T2-120.6,BOWKER-T2-120.6,M. Bowker,1997,,D12,35,F,DIRECT LEAF PCR,,Mishler
T2-120.7,BOWKER-T2-120.7,M. Bowker,1997,,D12,35,F,DIRECT LEAF PCR,,Mishler
T2-120.8,BOWKER-T2-120.8,M. Bowker,1997,,D12,35,F,DIRECT LEAF PCR,,Mishler
T2-120.9,BOWKER-T2-120.9,M. Bowker,1997,,D12,35,F,DIRECT LEAF PCR,,Mishler
T2-120.10,BOWKER-T2-120.10,M. Bowker,1997,,D12,35,F,DIRECT LEAF PCR,,Mishler
T2-120.11,BOWKER-T2-120.11,M. Bowker,1997,,D16,39,,DIRECT LEAF PCR,,Mishler
T2-120.12,BOWKER-T2-120.12,M. Bowker,1997,,D16,39,,DIRECT LEAF PCR,,Mishler
T2-135.1,BOWKER-T2-135.1,M. Bowker,1997,,D12,35,F,DIRECT LEAF PCR,,Mishler
T2-135.2,BOWKER-T2-135.2,M. Bowker,1997,,D12,35,F,DIRECT LEAF PCR,,Mishler
T2-135.3,BOWKER-T2-135.3,M. Bowker,1997,,D12,35,F,DIRECT LEAF PCR,,Mishler
T2-135.4,BOWKER-T2-135.4,M. Bowker,1997,,D12,35,F,DIRECT LEAF PCR,,Mishler
T2-135.5,BOWKER-T2-135.5,M. Bowker,1997,,D12,35,F,DIRECT LEAF PCR,,Mishler
T3-465.1,,,,,,,F,,,Fisher
T3-465.2,,,,,,,F,,,Fisher
T3-465.3,,,,,,,F,,,Fisher
T3-465.4,,,,,,,F,,,Fisher
T3-465.5,,,,,,,F,,,Fisher
T3-465.6,,,,,,,F,,,Fisher
T3-465.7,,,,,,,F,,,Fisher
T3-465.8,,,,,,,F,,,Fisher
T3-465.9,,,,,,,F,,,Fisher
T3-465.10,,,,,,,F,,,Fisher
T3-105.1,,,,,,,F,,,Fisher
T3-105.2,,,,,,,F,,,Fisher
T3-105.3,,,,,,,F,,,Fisher
T3-105.4,,,,,,,F,,,Fisher
T3-105.5,,,,,,,F,,,Fisher
T3-105.6,,,,,,,F,,,Fisher
T3-105.7,,,,,,,F,,,Fisher
T3-105.8,,,,,,,F,,,Fisher
T3-105.9,,,,,,,F,,,Fisher
T3-105.10,,,,,,,F,,,Fisher
T3-135.1,,,,,,,F,,,Fisher
T3-135.2,,,,,,,F,,,Fisher
T3-135.3,,,,,,,F,,,Fisher
T3-135.4,,,,,,,F,,,Fisher
T3-135.5,,,,,,,F,,,Fisher
T3-135.6,,,,,,,F,,,Fisher
T3-135.7,,,,,,,F,,,Fisher
T3-135.8,,,,,,,F,,,Fisher
T3-135.9,,,,,,,F,,,Fisher
T3-135.10,,,,,,,F,,,Fisher
T3-210.1,,,,,,,F,,,Fisher
T3-210.2,,,,,,,F,,,Fisher
T3-210.3,,,,,,,F,,,Fisher
T3-210.4,,,,,,,F,,,Fisher
T3-210.5,,,,,,,F,,,Fisher
T3-210.6,,,,,,,F,,,Fisher
T3-210.7,,,,,,,F,,,Fisher
T3-210.8,,,,,,,F,,,Fisher
T3-210.9,,,,,,,F,,,Fisher
T3-210.10,,,,,,,F,,,Fisher
T3-285.1,,,,,,,F,,,Fisher
T3-285.2,,,,,,,F,,,Fisher
T3-285.3,,,,,,,F,,,Fisher
T3-285.4,,,,,,,F,,,Fisher
T3-285.5,,,,,,,F,,,Fisher
T3-285.6,,,,,,,F,,,Fisher
T3-285.7,,,,,,,F,,,Fisher
T3-285.8,,,,,,,F,,,Fisher
T3-285.9,,,,,,,F,,,Fisher
T3-285.10,,,,,,,F,,,Fisher
T3-315.1,,,,,,,F,,,Fisher
T3-315.2,,,,,,,F,,,Fisher
T3-315.3,,,,,,,F,,,Fisher
T3-315.4,,,,,,,F,,,Fisher
T3-315.5,,,,,,,F,,,Fisher
T3-315.6,,,,,,,F,,,Fisher
T3-315.7,,,,,,,F,,,Fisher
T3-315.8,,,,,,,F,,,Fisher
T3-315.9,,,,,,,F,,,Fisher
T3-315.10,,,,,,,F,,,Fisher
T3-390.1,,,,,,,F,,,Fisher
T3-390.2,,,,,,,F,,,Fisher
T3-390.3,,,,,,,F,,,Fisher
T3-390.4,,,,,,,F,,,Fisher
T3-390.5,,,,,,,F,,,Fisher
T3-390.6,,,,,,,F,,,Fisher
T3-390.7,,,,,,,F,,,Fisher
T3-390.8,,,,,,,F,,,Fisher
T3-390.9,,,,,,,F,,,Fisher
T3-390.10,,,,,,,F,,,Fisher
T2-135.6,BOWKER-T2-135.6,M. Bowker,1997,,D13,36,,DIRECT LEAF PCR,,Mishler
T2-135.7,BOWKER-T2-135.7,M. Bowker,1997,,D13,36,F,DIRECT LEAF PCR,,Mishler
T2-135.8,BOWKER-T2-135.8,M. Bowker,1997,,D13,36,F,DIRECT LEAF PCR,,Mishler
T2-135.9,BOWKER-T2-135.9,M. Bowker,1997,,D13,36,F,DIRECT LEAF PCR,,Mishler
T2-135.10,BOWKER-T2-135.10,M. Bowker,1997,,D13,36,F,DIRECT LEAF PCR,,Mishler
T2-210.1,BOWKER-T2-210.1,M. Bowker,1997,,D13,36,,DIRECT LEAF PCR,,Mishler
T2-210.2,BOWKER-T2-210.2,M. Bowker,1997,,D13,36,F,DIRECT LEAF PCR,,Mishler
T2-210.3,BOWKER-T2-210.3,M. Bowker,1997,,D13,36,,DIRECT LEAF PCR,,Mishler
T2-210.4,BOWKER-T2-210.4,M. Bowker,1997,,D13,36,F,DIRECT LEAF PCR,,Mishler
T2-210.5,BOWKER-T2-210.5,M. Bowker,1997,,D13,36,,DIRECT LEAF PCR,,Mishler
T2-210.6,BOWKER-T2-210.6,M. Bowker,1997,,D13,36,F,DIRECT LEAF PCR,,Mishler
T2-210.7,BOWKER-T2-210.7,M. Bowker,1997,,D13,36,F,DIRECT LEAF PCR,,Mishler
T2-210.8,BOWKER-T2-210.8,M. Bowker,1997,,D13,36,F,DIRECT LEAF PCR,,Mishler
T2-210.9,BOWKER-T2-210.9,M. Bowker,1997,,D13,36,F,DIRECT LEAF PCR,,Mishler
T2-210.10,BOWKER-T2-210.10,M. Bowker,1997,,D13,36,F,DIRECT LEAF PCR,,Mishler
T2-255.1,BOWKER-T2-255.1,M. Bowker,1997,,D13,36,,DIRECT LEAF PCR,,Mishler
T2-255.2,BOWKER-T2-255.2,M. Bowker,1997,,D13,36,F,DIRECT LEAF PCR,,Mishler
T2-255.3,BOWKER-T2-255.3,M. Bowker,1997,,D13,36,,DIRECT LEAF PCR,,Mishler
T2-255.4,BOWKER-T2-255.4,M. Bowker,1997,,D13,36,M,DIRECT LEAF PCR,,Mishler
T2-255.5,BOWKER-T2-255.5,M. Bowker,1997,,D13,36,M,DIRECT LEAF PCR,,Mishler
T2-255.6,BOWKER-T2-255.6,M. Bowker,1997,,D13,36,M,DIRECT LEAF PCR,,Mishler
T2-255.7,BOWKER-T2-255.7,M. Bowker,1997,,D13,36,F,DIRECT LEAF PCR,,Mishler
T2-255.8,BOWKER-T2-255.8,M. Bowker,1997,,D13,36,M,DIRECT LEAF PCR,,Mishler
T2-255.9,BOWKER-T2-255.9,M. Bowker,1997,,D13,36,,DIRECT LEAF PCR,,Mishler
T2-255.10,BOWKER-T2-255.10,M. Bowker,1997,,D13,36,F,DIRECT LEAF PCR,,Mishler
T1-210.1,BOWKER-T1-210.1,M. Bowker,1997,,D14,37,,DIRECT LEAF PCR,,Mishler
T1-210.2,BOWKER-T1-210.2,M. Bowker,1997,,D14,37,,DIRECT LEAF PCR,,Mishler
T1-210.3,BOWKER-T1-210.3,M. Bowker,1997,,D14,37,F,DIRECT LEAF PCR,,Mishler
T1-210.4,BOWKER-T1-210.4,M. Bowker,1997,,D14,37,,DIRECT LEAF PCR,,Mishler
